Item,Subitem,Quantity,Unit,Unit Price,Group,Source PDF
Tree Planting,Out of Town Design-Build Labor,448,HOURS,75.00,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Project Management,45,HOURS,102.51,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Excavator CAT 306,9,DAYS,624.22,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Jackhammer Attachment (Excavator),9,DAYS,689.92,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Skid Steer,9,DAYS,525.61,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Oak Live - 65 Gal,54,EACH,682.97,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Redbud Texas - 30 Gal 8' (Spec: 10' height),14,EACH,338.03,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,"Persimmon Texas - 30 Gal 8' (Spec: 10' height, 12' canopy)",18,EACH,379.43,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,"Oak Red - 30 Gal 8-9' (Spec: 14' height, 16' canopy)",19,EACH,310.44,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Cotton Burr Compost,9,CUYD,65.70,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Microlife Ultimate - 40#,1,BAGS,62.09,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Natural Cedar Mulch,8,CUYD,42.05,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Delivery - Trees,2,EACH,389.76,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Delivery - Compost,2,EACH,167.04,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
Tree Planting,Delivery - Equipment,2,EACH,389.76,"BYRNE CONSTRUCTION SERVICES 5851 SEBASTIAN PLACE Byrne Construction - Albert & Bessie Kronkosky State SAN ANTONIO, TEXAS 78249 Natural Area V2 7690 Texas 46 Pipe Creek, Texas 78063 Est ID: EST5222422",CustomerProposal.pdf
